|·█··················█····█····█·········█·█··················| 10cc67a9 0.636
|····················█··············█·························| 19689813 0.663
|·······█·█·····█···············█·····························| ba9c2a40 0.667
|·········································█················█··| 69625aa2 0.718
|·············█····█··········█····················█··········| 8632b8b9 0.694
|······█······█·█································█··██·····█·█| c81ee9cb 0.800
|··············█··█··········█········█·█·····················| 4cd85934 0.650
|····█·······················█··█···█···········█···█·█·█·····| b750b450 0.734
|·············█·············█····█·························█··| 9aca69a1 0.752
|·················█·················█················█········| 565d5963 0.698
|·····························█··█·█············█·█···········| 291f65d2 0.682
|········█·····█··█····█·············█····█·············█·█···| 10c339bf 0.931
|······································█······················| db7e4261 0.608 *
|········█·█···█········█·············█····█··················| dd2ebed6 0.645
|·············█·········█··················█········█·····█···| ed241815 0.740
|···························█········█·······█·█···█··········| e0060475 0.773
|··············█····██················█·······················| 75adc106 0.629
|···········██···············································█| 0fdac62b 0.728
|·········█······█············································| 95bec0cb 0.647
|·····················█·····█·································| 06c5aefa 0.687
|······························█··█···█·······················| 5f9eb624 0.639
|·····█·····█·█··········█·█········██························| 1e178017 0.680
|·······█·····█··█····█····█·····················█············| 313222fe 0.675
|···██·············█··█·········█··█······█·······█···········| b4cd7a8d 0.771
|█···············█····················█·······················| 33b5a36b 0.628
|··································█·█··················█··█··| 18561e28 0.921
|···············█······················█······················| ebf56ea4 0.617
|·····█··█·····█······█····································█··| cba72470 0.729
|█··█············█································█·█······█··| 2bc3e35a 0.730
|·█············██···········█·································| b59c56ef 0.700
|·········█·········█·········█········█·············█·····█··| 19e2d8a2 0.675
|█·····███·█··················································| 424ed541 0.657
|············█·█·█·····█··█····█·█·························█··| be8041db 0.705
|········█····························█·······················| dd8459f5 0.638
|····█··········█··█······················█·····█·█···········| c0b48758 0.696
|··············█·························█···██·············█·| 1d0543c7 0.691
|··········█························█··██····█·······█········| ffe0f8fd 0.725
|·················█·························█···█·············| 0c6d8851 0.641
|·····█···█··█···█·············█····█·█··██··█················| 02741442 0.669
|······················█··█········██····█······█····█········| 200cfb59 0.673
|·······█···············█··········██········█··········█·····| c82d82fd 0.921
|···························█··█·············█···············█| 2b078360 0.801
|····█··········█·············································| be277365 0.647
|··············█·································█············| 8ccc775e 0.678
|·█·······················█·······························█···| dfb56ce0 0.710
|·····································██·█···················█| a2b7157f 0.721
|··························█··············█···················| c9d4561f 0.662
|·█·····█··········█········█··················█··············| d7a1c587 0.708
|·····································█·······················| eec182ac 0.620
|·····························································| 2c56e42f 0.641
|··█·······················································█··| 3180e92d 0.714
|··················█················███········█··············| 00ed28de 0.679
|·····█··········█····················█····█····█·········█··█| fabd4835 0.736
|···█····█···█·····██·······█·······█···············█·····██··| 1dfb7d87 0.761


|···············█······················█······················| ebf56ea4 0.596
|······█·······█··█··········█········█·█·····················| ae1e72bc 0.626
|··············█·························█···██·············█·| d484e270 0.675
|·····································█···█···········█·······| bda7482e 0.650
|···································███········█··············| d9c2476e 0.680
|······················█··█····█···██·█··█······█····█········| 907941ad 0.681
|····█···············█··············█·························| 3c6be948 0.645
|·····················█·····█·································| faaa3d02 0.682
|······················█··█····█···██·█··█······█····█········| 913509cf 0.683
|················█·█··█·········█··█······█·······█···········| 572a02f4 0.754
|·█······█·····█··█····█·············█····█·············█·█···| ccdbf4c3 0.929
|··································█·█··················█··█··| 2dec6861 0.926
|█···············█·█··················██······················| 7deefe10 0.619
|········█·█···█········█·············█····█··················| dfdd834e 0.640
|··············█·························█···██·············█·| 256f4418 0.683
|·········█······█············································| fdf74983 0.648
|·····································█···█···········█·······| 942f4989 0.649
|·····█··········█····················█····█····█·········█··█| d86b2ea1 0.728
|···██············█·························█···█·············| 22165cce 0.617
|·····█··█·····█······█····································█··| bd237ce9 0.702
|·····································█·······················| eec182ac 0.610
|·······█··········█········█··················█··············| e12b5f13 0.700
|·········█······█············································| e3142587 0.634
|··············█····██················█·······················| 75adc106 0.605
|·····································██·█················█···| 4b2cfd52 0.666
|█···············█·█··················██······················| 549e66d1 0.614
|····█············································█·█······█··| 997670d9 0.705
|····························································█| 0d2c9b83 0.707
|······█·······█··█··········█········█·█·····················| 16b439b2 0.613
|·····█·····█·█··········█·█········██························| 4f0cac0e 0.656
|····█··········█·············································| 158244cb 0.622
|·····························█··█·█············█·█···········| 741754d6 0.659
|···············█······················█······················| 3911d261 0.592 *
|█···············█·█··················██······················| a6271a1b 0.612
|·····································██·█················█···| 1dfe8439 0.670
|····█············································█·█······█··| b87b75da 0.702
